Id,Name,BvD,Country_Id,TURN,P/L_bef_tax,Net_inc,CF,TASS,EC,Ratio,Prof_marg,ROE,ROCE,Solvency,EM,point,Cluster
EASIN_30,AEOLUS SYSTEMS AND HOLDINGS LTD,GB12022438,GB,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,5.1791753544105665,5.1791753544105665,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,2.212551527292036,1.7558748556724915,"(51.2356068, -0.5732063, 0.0)",0
EASIN_31,AERACCESS,FR807453972,FR,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,3.7159198174335795,3.3895204658463776,-0.13263041734421974,0.11033107358492986,0.0709951307856066,0.03952719974683155,0.6223313721294388,1.0791812460476249,"(48.6502928, 2.4490991, 0.0)",12
EASIN_32,AERCAP IRELAND LIMITED,IE051950,IE,5.656663471385971,2.3988639451665112,3.0452910065016496,5.921647985404782,7.128499461563442,6.71752771145958,-0.27209684721716054,0.11033107358492986,0.11230533405614981,0.20017694093213406,0.37168740065347977,2.423245873936808,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_33,AERDRAGON 2019 XIN SHENG LEASING LIMITED,IE657171,IE,3.8547916940539855,-0.05501961712114485,-0.051509822996586234,2.780677274433368,5.251893612682507,0.0,0.4157570010882176,0.11033107358492986,0.0709951307856066,0.0340025932626311,-0.8556556481465645,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_34,AERDRAGON CRYSTAL NO.1 LEASING LIMITED,IE661078,IE,3.486288760960566,-0.05984159880627434,-0.05660676032975112,2.8188854145940097,4.794327683619487,0.0,-0.38989858895449897,-1.2095166181206942,0.0709951307856066,0.002018029406733772,-0.8327877707970173,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_35,AERDRAGON CRYSTAL NO.2 LEASING LIMITED,IE661079,IE,3.455910240382743,-0.05979015186298004,-0.056551538906856595,2.72916478969277,4.807514733460008,0.0,-0.3980228470053499,-1.2832362402011563,0.0709951307856066,-0.00016273631071377241,-0.8312833051819155,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_36,AERDRAGON CRYSTAL NO.3 LEASING LIMITED,IE661080,IE,3.042181594515766,-0.06199301643494511,-0.05883218367240058,0.0,4.744457279683304,0.0,-0.3980228470053499,0.11033107358492986,0.0709951307856066,-0.021970393485189227,-0.8592663656228089,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_37,AERDRAGON CRYSTAL NO.4 LEASING LIMITED,IE661081,IE,3.5669086552268032,-0.05947211621352436,-0.056225732511778884,2.9400181550076634,4.733959220623704,0.0,-0.4034390190392505,-0.9030916829669658,0.0709951307856066,0.019900308289803645,-0.8788244186191323,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_38,AERDRAGON CRYSTAL NO.5 LEASING LIMITED,IE661082,IE,3.4164740791002206,-0.06054782502785975,-0.05734120525424834,2.561101383649056,4.739445755661932,0.0,-0.3980228470053499,-1.6855855028812692,0.0709951307856066,-0.0030704239339771656,-0.8607708312379106,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_39,AERDRAGON MSN3984 LEASING LIMITED,IE657147,IE,3.182414652434554,-0.05616548085815429,-0.07040659391109355,0.0,4.40507302558599,0.0,-0.22470534192053024,-0.18454741473691882,0.0709951307856066,0.03487489954961013,-1.1815229003776133,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_40,AERDRAGON MSN4102 LEASING LIMITED,IE657146,IE,3.2385478876813276,-0.055347006760290404,-0.06982676897070102,0.0,4.414572275617945,0.0,-0.22470534192053024,0.29374194056824837,0.0709951307856066,0.04374334680056347,-1.1610621680122288,0.6020599913279624,"(52.7093263, -8.876893685751469, 0.0)",13
EASIN_41,AEREA S.P.A.,IT09951990150,IT,4.803736995158545,0.00289093304885837,0.0015966194010809014,4.138271111964449,5.1519915770619376,4.832029647089929,-0.09471721310691546,0.9172500694897476,0.20518434915307207,0.16237700182970993,0.6439956769869046,2.250420002308894,"(45.6548024, 9.0022871, 0.0)",14
